Distance (m),Elevation (m)
0,51.90108109
244.1707647,46.88454819
488.3415294,42.19146729
732.5122941,35.23105621
976.6830589,30.14554405
1220.853824,24.58644104
1465.024588,19.93784904
1709.195353,16.02217293
1953.366118,11.31032944
2197.536882,8.226575851
2441.707647,5.013280392
2685.878412,3.538504601
2930.049177,3.92113328
3174.219941,3.99348855
3418.390706,4.207633972
3662.561471,4.092854977
3906.732235,5.492972374
4150.903,7.762859344
4395.073765,5.170285702
4639.24453,3.844149113
4883.415294,6.311213493
5127.586059,5.13136816
5371.756824,7.907740116
5615.927588,17.50384521
5860.098353,16.12278175
6104.269118,7.9362216
6348.439883,3.290032625
6592.610647,5.350017548
6836.781412,11.08656406
7080.952177,12.21986389
7325.122941,4.285656452
7569.293706,4.482522964
7813.464471,10.82595062
8057.635236,13.99390316
8301.806,18.2718029
8545.976765,14.41373062
8790.14753,16.70748711
9034.318294,15.2330389
9278.489059,15.79727077
9522.659824,18.23994827
9766.830589,19.41886902
10011.00135,20.94013214
10255.17212,26.47988892
10499.34288,26.89540672
10743.51365,26.07059479
10987.68441,23.9254837
11231.85518,28.20684052
11476.02594,27.5289135
11720.19671,25.04176331
11964.36747,27.93584061
12208.53824,34.27304459
12452.709,34.58459473
12696.87977,36.67795563
12941.05053,38.97659683
13185.22129,43.45339203
13429.39206,43.3969574
13673.56282,43.31203842
13917.73359,31.01313782
14161.90435,22.72080421
14406.07512,26.67516708
14650.24588,33.13810349
14894.41665,42.83476639
15138.58741,52.33509064
15382.75818,59.71378708
15626.92894,68.64611053
15871.09971,77.29141235
16115.27047,83.65071869
16359.44124,79.97875214
16603.612,79.58267212
16847.78277,79.11344147
17091.95353,76.32157898
17336.12429,74.5861969
17580.29506,68.05288696
17824.46582,65.05963135
18068.63659,59.67942047
18312.80735,59.3203392
18556.97812,53.69377899
18801.14888,44.05082703
19045.31965,41.34377289
19289.49041,29.64875221
19533.66118,27.38055801
19777.83194,21.2163868
20022.00271,25.70209694
20266.17347,32.973526
20510.34424,38.06036377
20754.515,46.96927261
20998.68577,42.82698441
21242.85653,32.83120346
21487.02729,26.51756859
21731.19806,27.0375843
21975.36882,12.86021996
22219.53959,22.37976456
22463.71035,24.28440475
22707.88112,36.87854004
22952.05188,36.9901619
23196.22265,31.12886238
23440.39341,16.77793121
23684.56418,24.56929779
23928.73494,35.67105103
24172.90571,40.46047211
24417.07647,49.99232864
24661.24724,52.63582993
24905.418,55.7921524
25149.58877,53.33361053
25393.75953,59.01456833
25637.9303,58.82815933
25882.10106,64.39663696
26126.27182,67.58299255
26370.44259,63.64881134
26614.61335,68.93087769
26858.78412,70.77072144
27102.95488,73.30162048
27347.12565,71.43180847
27591.29641,62.0655098
27835.46718,53.11669159
28079.63794,26.76108932
28323.80871,4.266562462
28567.97947,1.220466256
28812.15024,0.071010768
29056.321,0
29300.49177,0
29544.66253,50.50549698
29788.8333,49.76821518
30033.00406,47.81632233
30277.17482,42.32314301
30521.34559,35.02499771
30765.51635,28.51316833
31009.68712,30.245224
31253.85788,22.61518288
31498.02865,16.93850899
31742.19941,15.02727318
31986.37018,12.56273842
32230.54094,7.35691309
32474.71171,8.110087395
32718.88247,11.88504887
32963.05324,20.59322166
33207.224,22.59968376
33451.39477,17.87118721
33695.56553,13.64206028
33939.7363,10.61108875
34183.90706,10.75214767
34428.07782,12.29288006
34672.24859,14.00893688
34916.41935,18.1371479
35160.59012,26.80486679
35404.76088,34.1108551
35648.93165,36.03683472
35893.10241,38.61143875
36137.27318,39.67481232
36381.44394,34.59761429
36625.61471,31.43585968
36869.78547,32.26284409
37113.95624,29.03918266
37358.127,28.85387611
